id,section,requirement_en,requirement_ka,status,owner,due_date,evidence_reference,notes,source_url
R-01,1. Business outcome,"The call has one primary outcome: booking, qualification, feedback, routing, payment follow-up, or another defined action.","ზარს აქვს ერთი ძირითადი შედეგი: ჯავშანი, კვალიფიკაცია, უკუკავშირი, გადამისამართება, გადახდის შეხსენება ან სხვა განსაზღვრული მოქმედება.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#1-business-outcome
R-02,1. Business outcome,"The target customer, language, channel and operating hours are documented.","აღწერილია სამიზნე მომხმარებელი, ენა, არხი და სამუშაო საათები.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#1-business-outcome
R-03,1. Business outcome,"Success measures are agreed: completed bookings, qualified leads, answer rate, resolution rate, transfer rate, or another relevant metric.","შეთანხმებულია წარმატების საზომები: დასრულებული ჯავშნები, კვალიფიცირებული ლიდები, პასუხის, გადაწყვეტის ან გადართვის მაჩვენებელი.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#1-business-outcome
R-04,1. Business outcome,The business owner can explain what the agent must not do.,"ბიზნესის მფლობელს შეუძლია განმარტოს, რა არ უნდა გააკეთოს აგენტმა.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#1-business-outcome
R-05,2. Conversation design,The opening explains the purpose of the call clearly and respectfully.,საუბრის დასაწყისი მკაფიოდ და პატივისცემით ხსნის ზარის მიზანს.,not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#2-conversation-design
R-06,2. Conversation design,"Required questions, optional questions and stop conditions are documented.","აღწერილია სავალდებულო კითხვები, არჩევითი კითხვები და გაჩერების პირობები.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#2-conversation-design
R-07,2. Conversation design,"Georgian wording has been reviewed for natural speech, regional variation and easy correction.","ქართული ფორმულირებები გადამოწმებულია ბუნებრივ მეტყველებაზე, რეგიონულ სხვაობებსა და მარტივ შესწორებაზე.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#2-conversation-design
R-08,2. Conversation design,"The system confirms critical details such as name, date, time, phone number or consent.","სისტემა ადასტურებს კრიტიკულ დეტალებს: სახელს, თარიღს, დროს, ტელეფონის ნომერს ან თანხმობას.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#2-conversation-design
R-09,2. Conversation design,"The agent can handle silence, interruption, correction, repetition and an unclear answer.","აგენტი ამუშავებს სიჩუმეს, შეწყვეტას, შესწორებას, გამეორებასა და გაურკვეველ პასუხს.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#2-conversation-design
R-10,2. Conversation design,The workflow includes an appropriate path for a human handoff.,პროცესი მოიცავს ადამიანთან გადართვის შესაბამის გზას.,not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#2-conversation-design
R-11,3. Real data and business rules,"Every critical answer has a source of truth: calendar, CRM, catalogue, service schedule, pricing source, or approved knowledge base.","ყოველ კრიტიკულ პასუხს აქვს სანდო წყარო: კალენდარი, CRM, კატალოგი, განრიგი, ფასების წყარო ან დამტკიცებული ცოდნის ბაზა.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#3-real-data-and-business-rules
R-12,3. Real data and business rules,The agent checks live availability before offering a slot or promising an action.,დროის შეთავაზებამდე ან მოქმედების დაპირებამდე აგენტი ამოწმებს მიმდინარე ხელმისაწვდომობას.,not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#3-real-data-and-business-rules
R-13,3. Real data and business rules,"Validation rules exist for phone numbers, dates, times, names, consent and record changes.","არსებობს ტელეფონის ნომრის, თარიღის, დროის, სახელის, თანხმობისა და ჩანაწერის ცვლილების ვალიდაციის წესები.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#3-real-data-and-business-rules
R-14,3. Real data and business rules,"Duplicate-booking, repeat-call and retry rules are defined.","განსაზღვრულია დუბლირებული ჯავშნის, განმეორებითი ზარისა და ხელახლა ცდის წესები.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#3-real-data-and-business-rules
R-15,3. Real data and business rules,"The agent never invents unavailable times, products, people, prices or business facts.","აგენტი არ იგონებს მიუწვდომელ დროს, პროდუქტებს, ადამიანებს, ფასებს ან ბიზნესის ფაქტებს.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#3-real-data-and-business-rules
R-16,"4. Safety, privacy and consent","Call recording, transcription and personal-data notices are reviewed for the operating jurisdiction.","ზარის ჩაწერის, ტრანსკრიპციისა და პერსონალური მონაცემების შეტყობინებები გადამოწმებულია მოქმედი იურისდიქციისთვის.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#4-safety-privacy-and-consent
R-17,"4. Safety, privacy and consent",Sensitive categories and prohibited requests are defined.,განსაზღვრულია მგრძნობიარე კატეგორიები და აკრძალული მოთხოვნები.,not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#4-safety-privacy-and-consent
R-18,"4. Safety, privacy and consent",The minimum required data is collected and retained.,გროვდება და ინახება მხოლოდ აუცილებელი მინიმალური მონაცემები.,not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#4-safety-privacy-and-consent
R-19,"4. Safety, privacy and consent","Access to recordings, transcripts and customer data follows role-based permissions.","ჩანაწერებზე, ტრანსკრიპტებსა და მომხმარებლის მონაცემებზე წვდომა როლების მიხედვით იმართება.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#4-safety-privacy-and-consent
R-20,"4. Safety, privacy and consent","A clear escalation route exists for complaints, urgent matters and high-risk requests.","საჩივრების, გადაუდებელი საკითხებისა და მაღალი რისკის მოთხოვნებისთვის არსებობს ესკალაციის მკაფიო გზა.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#4-safety-privacy-and-consent
R-21,"4. Safety, privacy and consent",Security and legal teams review the workflow before production use where applicable.,"საჭიროების შემთხვევაში, რეალურ გარემოში გაშვებამდე პროცესს ამოწმებენ უსაფრთხოებისა და იურიდიული გუნდები.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#4-safety-privacy-and-consent
R-22,5. Integrations and reliability,Telephony/SIP routing and working-hours rules are tested.,ტელეფონიის/SIP მარშრუტიზაცია და სამუშაო საათების წესები დატესტილია.,not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#5-integrations-and-reliability
R-23,5. Integrations and reliability,"Calendar, CRM, API and webhook failures have safe fallback behaviour.","კალენდრის, CRM-ის, API-ისა და webhook-ის შეფერხებებს აქვთ უსაფრთხო სარეზერვო ქცევა.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#5-integrations-and-reliability
R-24,5. Integrations and reliability,Time zone handling is explicit; use the business's operating timezone consistently.,დროის ზონა მკაფიოდ არის განსაზღვრული; ბიზნესის სამუშაო დროის ზონა თანმიმდევრულად გამოიყენება.,not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#5-integrations-and-reliability
R-25,5. Integrations and reliability,Retry and idempotency rules prevent duplicate actions.,ხელახლა ცდისა და idempotency-ის წესები ხელს უშლის დუბლირებულ მოქმედებებს.,not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#5-integrations-and-reliability
R-26,5. Integrations and reliability,"Rate limits, concurrency limits and peak load assumptions are documented.",აღწერილია მოთხოვნების სიხშირისა და ერთდროული ზარების ლიმიტები და პიკური დატვირთვის ვარაუდები.,not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#5-integrations-and-reliability
R-27,5. Integrations and reliability,A monitored status page or internal health view exists for the workflow.,პროცესისთვის არსებობს მონიტორინგის ქვეშ მყოფი სტატუსის გვერდი ან შიდა ჯანმრთელობის ხედი.,not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#5-integrations-and-reliability
R-28,6. Quality testing before launch,"Test calls cover normal requests, accents, noise, silence, interruptions and corrections.","სატესტო ზარები მოიცავს ჩვეულებრივ მოთხოვნებს, აქცენტებს, ხმაურს, სიჩუმეს, შეწყვეტასა და შესწორებებს.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#6-quality-testing-before-launch
R-29,6. Quality testing before launch,"Test cases cover unavailable slots, invalid data, integration failures and duplicate requests.","ტესტები მოიცავს დაკავებულ დროს, არავალიდურ მონაცემებს, ინტეგრაციის შეფერხებებსა და დუბლირებულ მოთხოვნებს.",not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#6-quality-testing-before-launch
R-30,6. Quality testing before launch,"Every critical action is verified in the destination system, not only in the transcript.",ყოველი კრიტიკული მოქმედება მოწმდება დანიშნულების სისტემაში და არა მხოლოდ ტრანსკრიპტში.,not_assessed,,,,,https://github.com/omo-ge/georgian-voice-ai-readiness-checklist/blob/cb2ebd321f87d996153fffdf151aafa838a646ac/README.md#6-quality-testing-before-launch
